,x1,x2,y
0,4.0,1.62,-1
1,10.0,6.83,1
2,3.0,2.46,-1
3,15.0,5.16,1
4,1.0,2.92,-1
5,10.0,5.94,1
6,5.0,3.01,-1
7,19.0,6.65,1
8,5.0,3.19,-1
9,15.0,6.4,1
10,5.0,3.91,-1
11,11.0,5.4,1
12,1.0,3.83,-1
13,18.0,6.32,1
14,6.0,3.56,-1
15,8.0,4.84,1
16,7.0,1.32,-1
17,11.0,5.72,1
18,5.0,2.05,-1
19,8.0,5.09,1
20,-1.0,3.88,-1
21,9.0,6.9,1
22,6.0,3.26,-1
23,13.0,5.04,1
24,3.0,2.21,-1
25,12.0,6.82,1
26,-1.0,1.15,-1
27,17.0,4.98,1
28,-1.0,3.91,-1
29,8.0,5.22,1
30,5.0,2.66,-1
31,19.0,6.57,1
32,7.0,2.62,-1
33,16.0,5.01,1
34,3.0,1.72,-1
35,15.0,6.26,1
36,-1.0,3.99,-1
37,12.0,5.33,1
38,4.0,2.84,-1
39,15.0,5.9,1
40,7.0,2.32,-1
41,13.0,5.58,1
42,1.0,3.01,-1
43,14.0,6.92,1
44,5.0,2.76,-1
45,10.0,5.37,1
46,-1.0,3.08,-1
47,15.0,6.27,1
48,5.0,1.51,-1
49,15.0,5.24,1
50,1.0,1.41,-1
51,8.0,5.8,1
52,7.0,1.28,-1
53,9.0,5.99,1
54,7.0,3.11,-1
55,17.0,5.83,1
56,6.0,3.26,-1
57,13.0,6.94,1
58,4.0,3.68,-1
59,16.0,5.3,1
60,5.0,3.63,-1
61,19.0,4.98,1
62,-1.0,2.18,-1
63,19.0,5.07,1
64,-1.0,3.32,-1
65,11.0,6.08,1
66,5.0,3.8,-1
67,7.0,6.05,1
68,-1.0,3.78,-1
69,11.0,6.3,1
70,7.0,1.49,-1
71,18.0,5.63,1
72,-1.0,1.93,-1
73,15.0,6.32,1
74,6.0,1.26,-1
75,13.0,5.89,1
76,4.0,3.47,-1
77,13.0,5.77,1
78,2.0,2.95,-1
79,7.0,6.76,1
80,4.0,3.82,-1
81,13.0,6.58,1
82,4.0,1.86,-1
83,15.0,5.63,1
84,4.0,3.46,-1
85,6.0,5.27,1
86,-1.0,3.85,-1
87,15.0,6.69,1
88,7.0,2.69,-1
89,7.0,6.53,1
90,2.0,3.58,-1
91,18.0,5.08,1
92,-1.0,1.82,-1
93,17.0,6.73,1
94,7.0,1.58,-1
95,10.0,6.16,1
96,4.0,1.95,-1
97,9.0,6.44,1
98,2.0,1.14,-1
99,13.0,5.49,1
